,OverallCond,BsmtUnfSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,MSZoning_dum_0,MSZoning_dum_1,Street_dum_Pave,LotShape_dum_0,LotShape_dum_1,LandContour_dum_0,LandSlope_dum_0,LandSlope_dum_1,Neighborhood_dum_0,Neighborhood_dum_2,Neighborhood_dum_3,Neighborhood_dum_4,Condition1_dum_0,Condition2_dum_0,Condition2_dum_2,BldgType_dum_0,BldgType_dum_2,HouseStyle_dum_0,RoofStyle_dum_0,RoofMatl_dum_1,RoofMatl_dum_2,Exterior1st_dum_1,Exterior1st_dum_3,Exterior2nd_dum_3,MasVnrType_dum_1,ExterQual_dum_0,ExterQual_dum_1,ExterCond_dum_2,BsmtQual_dum_1,BsmtCond_dum_1,BsmtCond_dum_2,BsmtExposure_dum_1,BsmtFinType1_dum_0,BsmtFinType1_dum_1,Heating_dum_0,HeatingQC_dum_0,HeatingQC_dum_1,CentralAir_dum_Y,KitchenQual_dum_1,FireplaceQu_dum_0,FireplaceQu_dum_1,FireplaceQu_dum_2,GarageType_dum_0,GarageType_dum_2,PoolQC_dum_0,PoolQC_dum_1,SaleType_dum_2,SaleCondition_dum_0,SaleCondition_dum_1,SaleCondition_dum_2
pc1,-0.136810929583,0.158387594203,0.0925857165899,-0.0346191970315,0.163099718647,0.00900054634899,0.315230395129,0.19284880606,0.251484742852,0.0193866794616,0.0122610381424,-0.175672930453,0.0571636828885,0.0077420576331,0.12550529319,0.0519752697995,-0.0621694891826,-0.0234781773601,-0.00244375321834,0.107088588024,0.226002840593,-0.0653430019493,0.018642606933,-0.0415430141713,0.00963072346753,-0.0104553971953,0.0677856632855,-0.0896967858437,0.113426424979,0.0605295251948,0.0180515386948,0.0179757094312,-0.228864761223,-0.0839337902671,-0.0668502424382,0.183648299695,0.269316996493,0.126125731938,-0.00905700485183,0.178116612346,-0.150000226002,-0.0030232798902,0.0809562543803,0.139498728922,-0.150754045047,-0.103965635426,-0.227052750924,-0.115354830368,0.194234897354,0.117676909533,0.121976715672,0.0727643919569,0.0550308152577,-0.293186192709,-0.0380619993962,0.0191224949882,0.0309146711972,-0.0130938026918,0.175041628186,-0.0562493846393,-0.034261363689
pc2,-0.0429757184195,0.162880375527,0.00153871568656,-0.0421466588078,-0.184572085774,-0.0412965211356,0.0960045622308,-0.0350216932133,-0.0274772613326,0.0122248581198,-0.000169008769833,0.0997088120496,-0.0229559586926,-0.0458747659453,-0.0628614182521,0.022070866384,0.128520271017,0.0420534182586,0.0657413114861,0.0491548633721,-0.0565217823645,-0.0135181296604,-0.0334401610319,0.0555103161142,0.125702320655,0.0411893047396,-0.0659161500391,0.133154163739,-0.188277302489,0.188756249717,0.0156889317186,0.0780750734495,0.114383384292,0.0988153069571,0.0786680831684,0.191704652703,-0.0655899093333,0.382786973244,0.0182334919608,0.333989476156,0.16759240286,0.105282789889,0.0953287654412,-0.0230884174596,-0.0679628655806,0.125587521379,0.0165404050991,0.00766831157092,-0.235177442269,0.364308012449,0.166993437051,-0.26865291609,0.0803463999497,0.141975364121,0.0532096970183,-0.0135528417901,0.0289222098859,-0.0126567731162,0.195071043024,0.0123223689622,0.0344682751074
pc3,0.0991759895075,-0.228070806006,0.324749194835,0.0837621163105,0.0153495725838,0.0275411319156,0.00245573561969,0.147874352219,-0.0338422799298,0.0627821602211,0.137020295527,-0.163943726081,-0.217307706194,-0.145238549592,0.179149538731,0.13097972646,0.250717840318,0.241149477907,0.265212571407,-0.034040113621,-0.10424045075,0.13962984263,0.0147893078905,0.0770870743364,0.0284466824427,0.00648008370648,-0.16423607936,0.0276334329951,-0.044944143432,0.122550609204,0.0923129491964,0.152559681813,0.0645620457267,-0.0528401987619,-0.026206036139,-0.022710849714,-0.124365734909,0.0540700007861,-0.00426122378613,0.00807007784583,-0.0826358180259,0.113392143158,0.277956948744,0.197038423686,0.182780956217,-0.0321638910867,0.0720141591789,0.0247523679285,0.10149785182,0.00669991017564,0.0326644768611,0.168624131782,0.00274215620264,-0.0890419974726,0.0944507286464,0.108713735658,0.157181171979,-0.0206031925877,-0.165619926424,-0.0470079099444,0.0458043292036
pc4,0.0165325541193,0.0203446081765,-0.226921368054,0.00269085477406,0.370117806435,0.401749198173,0.0778975532524,-0.0382696476785,0.144416270171,-0.0350473877375,0.0657505264984,0.0249548918388,0.116429190566,-0.0169786555804,0.0289103043294,0.12453071361,0.168649404134,0.0740807459998,0.0456226921197,-0.126244468687,0.143818888984,0.01069914254,-0.039667556912,0.110713487512,0.0437552895821,0.0412911609035,-0.190474554125,0.115095635183,0.437219473267,-0.0607033460332,0.0892521338405,0.118813751253,0.0317033879039,0.038764574193,0.0713510575542,-0.0905509328216,-0.0170815683162,0.0630008208634,-0.0202175185426,-0.00290161632658,0.120056129176,0.0150338481943,-0.0815929263276,-0.221521984953,-0.065322461475,0.11736185749,0.0194466611283,0.099456087377,-0.179683997048,0.0542277273744,-0.00726192094974,0.114674772072,-0.0313516446779,0.0555651850738,0.0546038226822,0.144379647459,0.172974961327,0.00832365286721,0.0110934679066,0.0238530931678,0.0430430799199
pc5,-0.149791815634,-0.156815995254,0.0836459057676,-0.0345519686402,0.0735533644783,-0.172318865426,-0.0611199389843,0.000644434769379,0.0203889667377,-0.0282077601561,-0.0298065583519,0.200110176187,0.211890072385,-0.0870073249418,-0.156488528769,0.149075445976,0.21384610898,0.0758127203859,0.266249021836,0.0111460703566,0.0733158773178,-0.151644022656,0.416611651686,-0.106757038884,-0.118961225567,-0.130435341058,0.437401405081,0.0735474447661,0.114794011179,-0.159233247258,0.0977350579597,0.110638621551,-0.0179124104473,0.080188289828,0.130250223095,0.00813660935529,0.136042488446,-0.0205399350245,-0.0306713563502,-0.0202905474987,0.0101860541735,0.14810857614,0.0893475277601,0.136178549721,-0.0408522285913,0.0521720007149,0.0252433706284,-0.0342213787806,-0.123710520929,0.0148844502551,-0.08436666795,-0.00527268600391,-0.0243203364397,0.0674694924277,0.0550165542896,-0.0553656272666,-0.0404580090538,0.0541837629718,-0.017898458896,0.0380610980717,-0.0386390216137
pc6,-0.240306618887,0.0102443946474,0.0709601031247,0.0132313386602,-0.0535314306045,0.00458339844367,0.0368142052512,-0.00498496450579,-0.0659520066337,-0.0182475271898,0.0660125734774,-0.144014297874,-0.166919771111,0.0901381239851,0.00663146970519,-0.068146266228,-0.18420468774,-0.252526989007,-0.0161348758485,0.218627938372,0.0207696390835,-0.09687591877,0.0378856177156,0.0135735446794,-0.0628638208934,-0.0934748953289,0.0214514930301,-0.0675792879722,-0.0801906361992,0.0725273846741,0.126533155606,0.148409806136,-0.219817973663,0.356724010047,0.316530387024,0.020507455937,-0.0144239069889,-0.0540283057901,-0.00856757784503,-0.0537163509001,0.155470984566,-0.0374553427969,-0.0892062967802,0.00469370210483,0.170252549002,0.176954852309,0.191062220828,-0.0629484374885,-0.0990014872534,0.0288119354428,-0.0799480242289,0.159507005854,-0.0363809082498,-0.114907834919,-0.0487201060391,0.25452820428,0.272293732544,-0.0269822228813,0.00504831407445,0.0418001956843,0.142092112688
pc7,0.0825809523249,-0.252552692955,0.200519617966,-0.0878185749036,0.101805729784,-0.0569193435511,-0.0938859878128,0.00389635029422,0.0363480937332,-0.0644743595556,-0.0150019819887,0.213326024365,0.0874045827545,0.0842219158976,-0.0430215693233,-0.097095948421,-0.134503307553,-0.0998545959259,-0.213454495982,0.113462418036,0.0421179657199,0.0196251835028,0.075826151108,0.19262129962,0.308150249823,0.250059607327,0.208976833397,0.0141658399221,0.132194618953,0.0313187496509,-0.143720047176,-0.018084342203,0.0258266754439,-0.165966402002,-0.16820740953,-0.0523747411575,-0.0795252180888,0.133311076165,0.0103892480972,0.0995421193096,-0.0109204041648,-0.0588503076875,-0.0852604940786,0.210048538524,0.0062666713034,-0.0922640960715,0.0576818847497,-0.075771340712,0.000413043324186,0.130363900258,-0.121137064149,0.00803994553035,0.0890598778412,0.138976345158,-0.109534725976,0.290155221425,0.289025311235,0.0111756976641,-0.0519191099447,-0.00555400817713,0.0447714993241
pc8,0.228293710861,0.0349927312123,-0.133682800933,0.174423366231,0.0131595063804,-0.00851035204331,-0.0853489657252,-0.0940453031548,-0.0483151024892,0.0654220966312,0.203551940135,0.0474067192031,0.0222266501205,0.139830989906,-0.131166090787,0.0670018471768,-0.0393961759998,-0.0425256519412,-0.0231185677145,-0.216325984068,-0.0750157990181,-0.235604282903,0.122727132088,-0.113527717143,-0.235185558832,-0.14500118085,0.0799196573978,-0.114798109682,-0.0156756502929,0.0640537479537,0.100238765632,0.200326235373,0.133714591251,-0.0195215428432,0.0357255801691,0.0687846564083,-0.1122340815,0.022836604264,-0.0339870667808,0.0421895365726,-0.210788157528,-0.0818326114855,-0.0155693641693,-0.103940462125,0.0307868165036,-0.188395438416,-0.0428712527175,0.061586224271,0.260106982759,0.0250060235306,0.255921297446,-0.186648087482,0.124936101983,-0.0122765259649,-0.0778104200435,0.249955121124,0.298121565874,0.0190382570381,0.0814946108314,0.062666556493,-0.0496252639298
pc9,0.115996977303,0.167344940926,-0.163035650052,-0.0223154326712,-0.0414427793146,-0.102843857319,-0.0668457372235,0.0547432728485,-0.00815407251948,0.0818464625186,-0.118297111984,0.00900272216462,-0.0792444922635,0.114892480782,0.0796031371926,0.0906967374778,0.0889908248445,-0.160332359122,0.242257099031,0.00984139434527,-0.0668144324337,-0.0837345278762,0.130628710369,0.247269115055,0.33869239339,0.392912168808,0.0192237070441,-0.168511801818,-0.0954971371922,-0.0319927990082,0.250499784452,0.299424910112,-0.06813765869,0.0691461256464,0.0412285029753,0.00761204378382,0.0310189616753,-0.00157184170687,0.0151157582842,-0.0844794269551,-0.0490112354352,0.119806459694,-0.0435445413089,-0.143701765823,-0.0889328570057,-0.112518017525,-0.0819153842601,0.0490247627262,0.0994803500099,-0.0710777753024,-0.0785027589837,0.0521927018851,-0.124856285636,0.0335395811779,-0.228293138521,-0.13858798798,-0.00963413436558,-0.0495403311559,-0.023049412505,-0.0740262107397,-0.0734248908624
pc10,-0.221011653234,0.095143961477,-0.00150986344053,-0.104769118387,-0.203350905437,0.0209227341591,-0.0210808240013,-0.0953445687218,0.0252380489273,0.0440574815934,-0.0923686666857,-0.044555105427,0.188413084768,-0.127217837486,0.00540750751592,0.0540122124924,0.178923401392,0.0855708815102,0.0636905779196,0.012511421716,-0.0152404331956,0.0825130218829,-0.154594691699,0.17470997967,-0.0325919759573,-0.0273812311964,-0.0589022418952,-0.0380569755975,-0.163120208622,-0.198466555215,-0.0753616440799,0.170075982862,-0.0226395176057,-0.114124771758,-0.220388181023,0.14443073391,0.107904761801,-0.170650949472,0.0116081126179,-0.127706702188,-0.0275204404363,-0.0349820025903,0.0173920388217,-0.0105715613185,-0.150472607024,-0.100203011268,0.0622217125724,-0.155953000153,0.0127815772705,-0.205666533328,-0.0654383495061,-0.131211476543,-0.114277170742,0.0740937784025,0.120312380368,0.185945514639,0.308837451099,0.035767234289,0.233410451213,0.218676915102,0.256435550503
